dimension,segment,n,top_pick_accuracy,brier_score,multiclass_log_loss
favorite_probability_band,0.40-0.60,1,1.0,0.44977021904998243,0.7929354573039903
draw_probability_band,0.20-0.40,1,1.0,0.44977021904998243,0.7929354573039903
behavior_disagreement_band,missing,1,1.0,0.44977021904998243,0.7929354573039903
market_disagreement_band,missing,1,1.0,0.44977021904998243,0.7929354573039903
market_join_status,no_event_resolved,1,1.0,0.44977021904998243,0.7929354573039903
match_context,knockout,1,1.0,0.44977021904998243,0.7929354573039903
