model,outcome,probability_bin,n,avg_predicted_probability,observed_frequency,calibration_error
raw_model,home_win,0.40-0.60,1,0.452514506721051,1.0,0.547485493278949
raw_model,draw,0.20-0.40,1,0.2648076746296582,0.0,0.2648076746296582
raw_model,away_win,0.20-0.40,1,0.2826778186492908,0.0,0.2826778186492908
