match_id,date_utc,competition,home,away,home_goals,away_goals,actual_result,total_goals,btts_actual,over_0_5_actual,over_1_5_actual,over_2_5_actual,over_3_5_actual,actual_advancing_team,result_semantics,evaluation_eligible_1x2,had_extra_time,had_penalties,penalties_home,penalties_away,result_source,last_updated
wc2026_30,2026-06-20,FIFA World Cup,Scotland,Morocco,0,1,away_win,1,0,1,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_29,2026-06-20,FIFA World Cup,Brazil,Haiti,3,0,home_win,3,0,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_31,2026-06-20,FIFA World Cup,Turkiye,Paraguay,0,1,away_win,1,0,1,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_35,2026-06-20,FIFA World Cup,Netherlands,Sweden,5,1,home_win,6,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_33,2026-06-20,FIFA World Cup,Germany,Ivory Coast,2,1,home_win,3,1,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_34,2026-06-21,FIFA World Cup,Ecuador,Curacao,0,0,draw,0,0,0,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_36,2026-06-21,FIFA World Cup,Tunisia,Japan,0,4,away_win,4,0,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_37,2026-06-21,FIFA World Cup,Spain,Saudi Arabia,4,0,home_win,4,0,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_38,2026-06-21,FIFA World Cup,Belgium,Iran,0,0,draw,0,0,0,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_39,2026-06-22,FIFA World Cup,Uruguay,Cape Verde,2,2,draw,4,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
