team,reference_date,behavior_window_start,behavior_window_end,matches_available_all_time,matches_used_recent,oldest_match_used,latest_match_used,behavior_config_name,n_matches,weighted_goals_for,weighted_goals_for_raw,weighted_goals_for_adjusted,weighted_goals_against,weighted_goals_against_raw,weighted_goals_against_adjusted,weighted_goal_difference,all_time_goals_for,all_time_goals_against,attack_index,attack_index_raw,attack_index_adjusted_old,attack_index_adjusted,attack_index_residual,attack_index_final,defense_index,defense_index_raw,defense_index_adjusted_old,defense_index_adjusted,defense_index_residual,defense_index_final,weighted_goal_for_residual,weighted_goal_against_residual,weighted_result_residual,residual_coverage_recent,recent_form_index,weighted_btts_rate,weighted_over_2_5_rate,clean_sheet_rate,failed_to_score_rate,environment_response_index,environment_sample_size,attack_data_quality,defense_data_quality,form_data_quality,environment_data_quality,overall_data_quality,behavior_warning,sample_size_warning,staleness_warning,opponent_quality_warning,mean_opponent_elo_recent,median_opponent_elo_recent,min_opponent_elo_recent,max_opponent_elo_recent,opponent_elo_coverage_recent,strong_opponent_match_count,weak_opponent_match_count,schedule_strength_label,schedule_strength_warning,opponent_adjustment_warning,residual_warning,last_updated
Abkhazia,2026-06-21,2022-06-21,2026-06-21,33,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.636,0.788,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Afghanistan,2026-06-21,2022-06-21,2026-06-21,147,22,2023-06-13,2026-06-10,calibrated_4y_40m_hl365,22,0.347,0.427,0.347,1.408,1.201,1.408,-1.062,0.966,1.993,0.192,0.205,0.166,0.166,0.162,0.192,0.489,0.478,0.401,0.401,0.514,0.489,-1.014,-0.043,-0.249,1.0,0.203,0.245,0.144,0.26,0.594,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1331.314,1240.918,1070.949,1839.14,1.0,2,12,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Albania,2026-06-21,2022-06-21,2026-06-21,398,40,2022-10-26,2026-06-06,calibrated_4y_40m_hl365,40,0.869,0.87,0.869,0.82,0.938,0.82,0.049,0.947,1.48,0.354,0.371,0.376,0.376,0.312,0.354,0.596,0.573,0.604,0.604,0.651,0.596,-0.563,-0.454,-0.038,1.0,0.407,0.287,0.279,0.382,0.399,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1626.059,1732.01,1079.522,2022.361,1.0,23,7,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Alderney,2026-06-21,2022-06-21,2026-06-21,135,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.541,4.593,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Algeria,2026-06-21,2022-06-21,2026-06-21,618,40,2024-01-05,2026-06-16,calibrated_4y_40m_hl365,40,1.815,1.816,1.815,0.761,0.853,0.761,1.054,1.542,0.997,0.645,0.664,0.672,0.672,0.602,0.645,0.633,0.648,0.679,0.679,0.598,0.633,0.306,-0.295,0.038,1.0,0.697,0.35,0.583,0.514,0.277,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1569.023,1528.133,1095.609,2058.762,1.0,7,1,average,,Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Ambazonia,2026-06-21,2022-06-21,2026-06-21,6,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.5,2.833,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
American Samoa,2026-06-21,2022-06-21,2026-06-21,55,7,2023-11-20,2026-03-28,calibrated_4y_40m_hl365,7,0.612,0.813,0.612,3.809,3.774,3.809,-3.197,0.6,6.491,0.354,0.363,0.273,0.273,0.333,0.354,0.0,0.0,0.0,0.0,0.0,0.0,-0.502,4.019,-0.462,1.0,0.0,0.406,0.887,0.0,0.594,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent goals-against differs from all-time by -2.68.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,Fewer than 8 recent matches; behavior is insufficient.,,,1214.678,1155.786,1056.681,1579.384,1.0,0,6,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Andalusia,2026-06-21,2022-06-21,2026-06-21,13,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.923,1.077,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Andorra,2026-06-21,2022-06-21,2026-06-21,229,39,2022-09-22,2026-06-07,calibrated_4y_40m_hl365,39,0.346,0.376,0.346,1.565,1.685,1.565,-1.219,0.328,2.371,0.217,0.172,0.159,0.159,0.323,0.217,0.428,0.323,0.345,0.345,0.673,0.428,-0.532,-0.519,-0.006,1.0,0.109,0.175,0.368,0.135,0.759,0.5,0,high,high,high,none,high,Recent goals-against differs from all-time by -0.81.; Large raw-vs-residual defense disagreement.,,,,1518.581,1543.202,928.018,1992.466,1.0,9,9,average,,,Large raw-vs-residual defense disagreement.,2026-06-20T23:36:25+00:00
Angola,2026-06-21,2022-06-21,2026-06-21,415,40,2023-06-17,2026-06-09,calibrated_4y_40m_hl365,40,1.116,1.17,1.116,0.912,0.912,0.912,0.204,1.133,1.031,0.464,0.483,0.464,0.464,0.418,0.464,0.6,0.582,0.586,0.586,0.642,0.6,-0.245,-0.427,-0.016,1.0,0.415,0.527,0.384,0.362,0.321,0.5,0,high,high,high,none,high,,,,,1532.605,1513.745,1231.367,2053.982,1.0,6,4,average,,,,2026-06-20T23:36:25+00:00
Anguilla,2026-06-21,2022-06-21,2026-06-21,91,21,2023-03-24,2026-03-29,calibrated_4y_40m_hl365,21,0.604,0.782,0.604,2.642,2.536,2.642,-2.038,0.571,3.835,0.341,0.314,0.243,0.243,0.403,0.341,0.111,0.111,0.082,0.082,0.111,0.111,-0.292,1.168,0.055,1.0,0.164,0.327,0.804,0.045,0.641,0.5,0,moderate,moderate,moderate,none,moderate,Recent goals-against differs from all-time by -1.19.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1256.441,1294.283,1069.701,1532.236,1.0,0,17,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Antigua and Barbuda,2026-06-21,2022-06-21,2026-06-21,231,21,2023-03-23,2025-11-18,calibrated_4y_40m_hl365,21,0.402,0.444,0.402,2.014,1.964,2.014,-1.612,1.325,1.831,0.215,0.199,0.181,0.181,0.251,0.215,0.283,0.271,0.248,0.248,0.309,0.283,-0.747,0.572,-0.226,1.0,0.075,0.345,0.451,0.156,0.645,0.5,0,moderate,moderate,moderate,none,moderate,Recent goals-for differs from all-time by -0.92.; Recent schedule skews toward weak opponents.,,,,1359.018,1382.504,1156.355,1646.206,1.0,0,7,weak,Recent schedule skews toward weak opponents.,,,2026-06-20T23:36:25+00:00
Arameans Suryoye,2026-06-21,2022-06-21,2026-06-21,10,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.6,1.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Argentina,2026-06-21,2022-06-21,2026-06-21,1070,40,2023-03-23,2026-06-16,calibrated_4y_40m_hl365,40,2.362,2.124,2.362,0.29,0.342,0.29,2.072,1.898,1.005,0.741,0.797,0.876,0.876,0.612,0.741,0.801,0.84,0.882,0.882,0.709,0.801,0.336,-0.627,0.008,1.0,0.886,0.217,0.532,0.815,0.068,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1738.925,1752.603,1393.753,2018.955,1.0,27,0,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Armenia,2026-06-21,2022-06-21,2026-06-21,272,37,2022-09-24,2026-06-09,calibrated_4y_40m_hl365,37,0.836,0.812,0.836,1.934,1.983,1.934,-1.098,1.007,1.835,0.369,0.359,0.372,0.372,0.392,0.369,0.217,0.222,0.243,0.243,0.206,0.217,-0.324,0.883,-0.082,1.0,0.188,0.544,0.512,0.0,0.456,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1609.057,1602.996,1282.259,1981.841,1.0,13,3,strong,Recent schedule skews toward strong opponents.,,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Artsakh,2026-06-21,2022-06-21,2026-06-21,11,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.909,1.273,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Aruba,2026-06-21,2022-06-21,2026-06-21,152,22,2023-03-27,2026-06-06,calibrated_4y_40m_hl365,22,1.414,1.753,1.414,1.787,1.69,1.787,-0.373,1.309,2.349,0.614,0.599,0.486,0.486,0.651,0.614,0.366,0.361,0.335,0.335,0.38,0.366,0.453,0.36,0.058,1.0,0.361,0.527,0.697,0.141,0.387,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1309.766,1295.723,947.396,1657.309,1.0,0,13,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Asturias,2026-06-21,2022-06-21,2026-06-21,1,0,,,calibrated_4y_40m_hl365,0,,,,,,,,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Australia,2026-06-21,2022-06-21,2026-06-21,583,40,2023-03-24,2026-06-19,calibrated_4y_40m_hl365,40,1.628,1.488,1.628,0.67,0.786,0.67,0.958,2.005,1.065,0.568,0.585,0.648,0.648,0.527,0.568,0.644,0.644,0.691,0.691,0.644,0.644,0.08,-0.433,0.038,1.0,0.665,0.305,0.302,0.51,0.28,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1682.985,1705.848,1169.826,2059.953,1.0,21,2,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Austria,2026-06-21,2022-06-21,2026-06-21,861,40,2022-11-16,2026-06-16,calibrated_4y_40m_hl365,40,2.12,2.032,2.12,0.644,0.73,0.644,1.476,1.793,1.528,0.748,0.765,0.799,0.799,0.708,0.748,0.648,0.66,0.674,0.674,0.621,0.648,0.623,-0.362,0.068,1.0,0.764,0.536,0.513,0.344,0.101,0.5,0,high,high,high,none,high,Recent goals-against differs from all-time by -0.88.; Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1644.766,1722.898,943.532,2046.115,1.0,22,4,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Aymara,2026-06-21,2022-06-21,2026-06-21,2,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.5,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Azerbaijan,2026-06-21,2022-06-21,2026-06-21,310,37,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,37,0.959,0.933,0.959,1.858,1.976,1.858,-0.898,0.768,1.677,0.411,0.381,0.389,0.389,0.479,0.411,0.271,0.224,0.258,0.258,0.382,0.271,-0.063,0.355,-0.05,1.0,0.219,0.549,0.592,0.073,0.417,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1596.037,1611.015,935.574,2039.192,1.0,15,5,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Bahamas,2026-06-21,2022-06-21,2026-06-21,67,19,2023-03-24,2026-03-29,calibrated_4y_40m_hl365,19,0.611,0.764,0.611,3.102,2.831,3.102,-2.491,1.119,3.179,0.331,0.332,0.267,0.267,0.328,0.331,0.04,0.057,0.027,0.027,0.0,0.04,-0.515,2.345,-0.377,1.0,0.032,0.514,0.807,0.0,0.486,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1274.638,1296.505,994.674,1736.207,1.0,1,13,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Bahrain,2026-06-21,2022-06-21,2026-06-21,584,40,2023-09-07,2026-06-05,calibrated_4y_40m_hl365,40,0.992,0.969,0.992,1.365,1.438,1.365,-0.374,1.241,1.295,0.395,0.411,0.42,0.42,0.36,0.395,0.416,0.399,0.419,0.419,0.456,0.416,-0.421,0.133,-0.112,1.0,0.334,0.4,0.436,0.231,0.402,0.5,0,high,high,high,none,high,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1568.833,1632.923,1090.962,1934.785,1.0,11,8,average,,,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Bangladesh,2026-06-21,2022-06-21,2026-06-21,305,34,2022-09-22,2026-06-05,calibrated_4y_40m_hl365,34,0.947,1.1,0.947,1.614,1.526,1.614,-0.667,0.905,1.823,0.472,0.47,0.403,0.403,0.477,0.472,0.445,0.415,0.382,0.382,0.515,0.445,-0.068,-0.045,0.109,1.0,0.306,0.502,0.48,0.239,0.325,0.5,0,high,high,high,none,high,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1284.56,1241.356,939.075,1830.579,1.0,2,21,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Barawa,2026-06-21,2022-06-21,2026-06-21,12,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.333,3.833,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Barbados,2026-06-21,2022-06-21,2026-06-21,302,26,2023-02-22,2026-03-29,calibrated_4y_40m_hl365,26,1.393,1.561,1.393,2.628,2.369,2.628,-1.236,1.301,1.745,0.626,0.622,0.547,0.547,0.634,0.626,0.138,0.122,0.057,0.057,0.177,0.138,0.401,0.97,-0.123,1.0,0.203,0.758,0.851,0.096,0.179,0.5,0,high,high,high,none,high,Recent goals-against differs from all-time by +0.88.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1319.026,1307.619,1044.419,1610.821,1.0,0,15,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Basque Country,2026-06-21,2022-06-21,2026-06-21,64,2,2024-05-21,2025-11-15,calibrated_4y_40m_hl365,2,2.752,2.631,2.752,0.147,0.184,0.147,2.604,2.562,1.391,0.927,0.952,0.961,0.961,0.867,0.927,0.893,0.913,0.927,0.927,0.848,0.893,1.102,-1.044,0.235,1.0,0.901,0.184,0.816,0.84,0.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent goals-against differs from all-time by -1.24.; Recent schedule skews toward strong opponents.; Schedule strength may be misleading; residuals do not support the full opponent boost.,Fewer than 8 recent matches; behavior is insufficient.,,,1748.135,1748.135,1548.545,1947.725,1.0,1,0,strong,Recent schedule skews toward strong opponents.,,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Belarus,2026-06-21,2022-06-21,2026-06-21,315,38,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,38,1.232,1.156,1.232,1.524,1.635,1.524,-0.292,1.152,1.473,0.484,0.472,0.507,0.507,0.513,0.484,0.385,0.363,0.402,0.402,0.436,0.385,0.039,0.191,0.131,1.0,0.357,0.514,0.579,0.284,0.36,0.5,0,high,high,high,none,high,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1584.96,1565.309,1176.042,1883.445,1.0,10,3,average,,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Belgium,2026-06-21,2022-06-21,2026-06-21,854,40,2022-12-01,2026-06-15,calibrated_4y_40m_hl365,40,2.198,2.096,2.198,0.748,0.864,0.748,1.451,1.816,1.512,0.733,0.734,0.778,0.778,0.731,0.733,0.602,0.619,0.65,0.65,0.562,0.602,0.693,-0.185,-0.061,1.0,0.631,0.504,0.474,0.418,0.162,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1699.009,1747.697,1047.505,2038.887,1.0,24,2,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Belize,2026-06-21,2022-06-21,2026-06-21,121,26,2023-03-24,2026-03-30,calibrated_4y_40m_hl365,26,1.222,1.323,1.222,2.079,1.996,2.079,-0.857,1.099,1.926,0.548,0.534,0.489,0.489,0.581,0.548,0.251,0.255,0.227,0.227,0.24,0.251,0.243,0.779,-0.024,1.0,0.299,0.506,0.656,0.187,0.269,0.5,0,high,high,high,none,high,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1388.9,1398.568,1020.553,1764.518,1.0,3,10,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Benin,2026-06-21,2022-06-21,2026-06-21,325,36,2022-09-24,2026-06-09,calibrated_4y_40m_hl365,36,0.974,0.982,0.974,1.226,1.328,1.226,-0.253,1.083,1.726,0.411,0.421,0.419,0.419,0.387,0.411,0.504,0.5,0.523,0.523,0.511,0.504,-0.339,-0.033,0.042,1.0,0.456,0.292,0.447,0.423,0.303,0.5,0,high,high,high,none,high,,,,,1554.017,1471.166,1368.001,1871.56,1.0,6,0,average,,,,2026-06-20T23:36:25+00:00
Bermuda,2026-06-21,2022-06-21,2026-06-21,198,30,2023-03-25,2026-06-06,calibrated_4y_40m_hl365,30,1.341,1.349,1.341,2.338,2.398,2.338,-0.996,1.657,1.763,0.544,0.525,0.513,0.513,0.588,0.544,0.132,0.143,0.158,0.158,0.104,0.132,0.265,1.187,-0.001,1.0,0.269,0.44,0.829,0.142,0.413,0.5,0,high,high,high,none,high,Recent schedule skews toward weak opponents.; Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1441.943,1474.208,980.206,1684.298,1.0,0,11,weak,Recent schedule skews toward weak opponents.,,Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Bhutan,2026-06-21,2022-06-21,2026-06-21,110,19,2023-03-25,2026-06-04,calibrated_4y_40m_hl365,19,0.319,0.383,0.319,2.801,2.685,2.801,-2.482,0.555,3.655,0.219,0.184,0.153,0.153,0.303,0.219,0.074,0.079,0.046,0.046,0.062,0.074,-0.591,1.314,-0.075,1.0,0.045,0.319,0.614,0.115,0.636,0.5,0,moderate,moderate,moderate,none,moderate,Recent goals-against differs from all-time by -0.85.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1225.34,1193.357,1015.461,1478.343,1.0,0,15,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Biafra,2026-06-21,2022-06-21,2026-06-21,3,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.667,0.333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Bolivia,2026-06-21,2022-06-21,2026-06-21,534,40,2023-06-17,2026-06-10,calibrated_4y_40m_hl365,40,0.972,0.874,0.972,1.563,1.822,1.563,-0.592,1.021,1.968,0.385,0.38,0.427,0.427,0.396,0.385,0.338,0.312,0.393,0.393,0.398,0.338,-0.312,0.306,0.025,1.0,0.359,0.338,0.651,0.29,0.45,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1817.066,1814.277,1176.216,2070.695,1.0,36,1,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
