team,reference_date,behavior_window_start,behavior_window_end,matches_available_all_time,matches_used_recent,oldest_match_used,latest_match_used,behavior_config_name,n_matches,weighted_goals_for,weighted_goals_for_raw,weighted_goals_for_adjusted,weighted_goals_against,weighted_goals_against_raw,weighted_goals_against_adjusted,weighted_goal_difference,all_time_goals_for,all_time_goals_against,attack_index,attack_index_raw,attack_index_adjusted_old,attack_index_adjusted,attack_index_residual,attack_index_final,defense_index,defense_index_raw,defense_index_adjusted_old,defense_index_adjusted,defense_index_residual,defense_index_final,weighted_goal_for_residual,weighted_goal_against_residual,weighted_result_residual,residual_coverage_recent,recent_form_index,weighted_btts_rate,weighted_over_2_5_rate,clean_sheet_rate,failed_to_score_rate,environment_response_index,environment_sample_size,attack_data_quality,defense_data_quality,form_data_quality,environment_data_quality,overall_data_quality,behavior_warning,sample_size_warning,staleness_warning,opponent_quality_warning,mean_opponent_elo_recent,median_opponent_elo_recent,min_opponent_elo_recent,max_opponent_elo_recent,opponent_elo_coverage_recent,strong_opponent_match_count,weak_opponent_match_count,schedule_strength_label,schedule_strength_warning,opponent_adjustment_warning,residual_warning,last_updated
Ellan Vannin,2026-06-21,2022-06-21,2026-06-21,22,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.455,1.455,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
England,2026-06-21,2022-06-21,2026-06-21,1092,40,2023-06-19,2026-06-17,calibrated_4y_40m_hl365,40,2.635,2.548,2.635,0.634,0.778,0.634,2.001,2.188,0.957,0.858,0.903,0.957,0.957,0.753,0.858,0.628,0.65,0.697,0.697,0.579,0.628,0.758,-0.237,0.079,1.0,0.889,0.426,0.571,0.558,0.054,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1708.539,1745.634,1140.824,2061.973,1.0,25,4,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Equatorial Guinea,2026-06-21,2022-06-21,2026-06-21,179,39,2022-09-23,2026-06-09,calibrated_4y_40m_hl365,39,0.837,0.878,0.837,1.386,1.395,1.386,-0.549,0.872,1.464,0.368,0.378,0.365,0.365,0.342,0.368,0.436,0.408,0.408,0.408,0.502,0.436,-0.473,-0.006,-0.128,1.0,0.293,0.45,0.375,0.168,0.401,0.5,0,high,high,high,none,high,,,,,1508.637,1476.522,1110.258,1804.007,1.0,8,4,average,,,,2026-06-20T23:36:25+00:00
Eritrea,2026-06-21,2022-06-21,2026-06-21,71,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.676,1.704,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Estonia,2026-06-21,2022-06-21,2026-06-21,550,40,2022-11-16,2026-06-09,calibrated_4y_40m_hl365,40,0.871,0.882,0.871,1.671,1.778,1.671,-0.8,0.989,1.771,0.386,0.378,0.376,0.376,0.406,0.386,0.353,0.32,0.345,0.345,0.43,0.353,-0.282,0.209,0.019,1.0,0.287,0.487,0.451,0.193,0.343,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1595.537,1609.179,1140.563,1981.492,1.0,17,5,strong,Recent schedule skews toward strong opponents.,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Eswatini,2026-06-21,2022-06-21,2026-06-21,274,32,2022-07-06,2025-10-13,calibrated_4y_40m_hl365,32,0.631,0.683,0.631,1.944,1.967,1.944,-1.313,0.843,1.661,0.308,0.284,0.265,0.265,0.362,0.308,0.27,0.216,0.224,0.224,0.394,0.27,-0.413,0.318,-0.046,1.0,0.124,0.332,0.575,0.121,0.644,0.5,0,moderate,moderate,moderate,none,moderate,Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1498.769,1508.059,1092.059,1786.459,1.0,3,5,average,,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Ethiopia,2026-06-21,2022-06-21,2026-06-21,409,27,2022-09-26,2026-06-09,calibrated_4y_40m_hl365,27,0.785,0.791,0.785,1.403,1.453,1.403,-0.619,1.342,1.455,0.352,0.335,0.323,0.323,0.393,0.352,0.436,0.397,0.411,0.411,0.525,0.436,-0.321,-0.075,-0.001,1.0,0.318,0.361,0.296,0.259,0.445,0.5,0,high,high,high,none,high,,,,,1487.109,1461.202,1115.47,1758.87,1.0,3,2,average,,,,2026-06-20T23:36:25+00:00
Falkland Islands,2026-06-21,2022-06-21,2026-06-21,33,4,2023-07-09,2023-07-13,calibrated_4y_40m_hl365,4,0.762,0.751,0.762,2.927,2.997,2.927,-2.165,0.939,3.667,0.378,0.363,0.368,0.368,0.412,0.378,0.049,0.061,0.07,0.07,0.021,0.049,-0.263,1.438,-0.068,1.0,0.046,0.751,0.748,0.0,0.249,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 1074 days before reference date.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 1074 days before reference date.,,1559.384,1543.678,1483.656,1666.524,1.0,0,0,average,,,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Faroe Islands,2026-06-21,2022-06-21,2026-06-21,287,37,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,37,1.044,1.07,1.044,0.957,1.019,0.957,0.086,0.836,2.244,0.455,0.45,0.44,0.44,0.469,0.455,0.612,0.562,0.572,0.572,0.73,0.612,-0.093,-0.689,0.17,1.0,0.447,0.372,0.408,0.275,0.342,0.5,0,high,high,high,none,high,Recent goals-against differs from all-time by -1.29.,,,,1529.972,1554.467,936.757,1898.279,1.0,12,8,average,,,,2026-06-20T23:36:25+00:00
Felvidék,2026-06-21,2022-06-21,2026-06-21,12,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.167,1.667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
